Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C2",0603,3,10uF,
"C10, C11, C15, C21_2, C21, C5, C6_2, C6, C7, C8, C9",0402,11,100nF,
C12,0603,1,4.7uF,
"C14, C16_2, C16, C3, C4",0402,5,1uF,
FB1,0402,1,600 @ 100Mhz,
J1,Conn_JST_SH_01x04_Horizontal_SMD,1,Conn_JST_SH_01x04_Horizontal_SMD,
J2,01x04_smd_pad_1.2mm,1,GNSS_2,
J3,01x04_smd_pad_1.2mm,1,ELRS,
J4,01x02_smd_pad_1.2mm,1,BATTERY CONNECTOR,
J5,Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical,1,SWD CONN,
J7,01x02_smd_pad_1.2mm,1,VTX_CONN,
"M1, M2, M3",PinHeader_1x03_P2.54mm_Vertical,3,Motor_Servo,
Q2,SOT-523,1,DMG1012T,
"R1, R2, R4, R5",0402,4,10k,
R3,0402,1,1K,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32G431CBTx,
U2,SOT23-5,1,AP2112K-3.3,
U3,ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,1,LPS22DF,
U5,XDCR_BMI270,1,BMI270,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,Resonator,
